id,publication_year,B,C,D,E,F,G,H,num_applications,num_patent_citations,num_nonpatent_citations,num_claims,num_similar_doc,num_authors,payment_times
US6676892B2,2004,1,0,0,0,0,0,0,8,27,20,8,12,2,3
US6678548B1,2004,0,0,0,0,0,0,0,17,31,5,22,0,4,3
US6685956B2,2004,0,0,0,0,0,0,0,11,29,3,24,15,4,1
US6711475B2,2004,0,0,0,0,0,1,0,5,3,3,32,7,1,3
US6681387B1,2004,0,0,0,0,0,1,0,1,18,6,59,5,5,2
US6713177B2,2004,0,1,0,0,0,0,0,56,4,18,83,2,4,3
US6686435B1,2004,0,1,0,0,0,0,0,3,13,1,12,19,4,3
US6711297B1,2004,0,0,0,0,0,1,0,6,30,4,21,2,2,3
US6703017B1,2004,0,0,0,0,0,0,0,8,43,57,18,1,3,1
US6673532B2,2004,0,0,0,0,0,1,0,11,4,18,20,8,1,3
US6699885B2,2004,0,0,0,0,0,0,0,20,117,183,50,5,1,3
US6673285B2,2004,0,0,0,0,0,1,0,7,8,43,37,1,1,2
US6672502B1,2004,1,0,0,0,0,0,0,17,7,0,44,10,3,2
US6696260B1,2004,0,1,0,0,0,0,0,11,8,30,26,0,2,3
US6695882B2,2004,0,0,0,0,0,0,0,41,42,5,28,7,5,3
US6713450B2,2004,0,1,0,0,0,0,0,3,5,23,30,1,3,3
US6680976B1,2004,0,0,0,0,0,0,1,9,3,1,40,1,2,3
US6714941B1,2004,0,0,0,0,0,1,0,4,41,2,22,1,2,3
US6701310B1,2004,0,0,0,0,0,1,0,8,14,3,9,2,2,3
US6692766B1,2004,0,0,0,0,0,0,0,4,6,45,13,3,6,1
US6676900B1,2004,0,1,0,0,0,0,0,17,65,35,12,14,7,2
US6685935B1,2004,0,0,0,0,0,0,0,4,12,103,188,3,3,3
US6675875B1,2004,0,0,0,0,0,0,1,4,11,7,15,6,2,2
US6676941B2,2004,0,1,0,0,0,0,0,19,73,79,68,9,2,3
US6673497B2,2004,0,0,0,0,0,1,0,7,18,12,25,9,3,3
US6680377B1,2004,0,0,0,0,0,1,0,19,15,27,13,5,3,3
US6682481B2,2004,0,0,0,0,0,1,0,9,8,13,47,1,3,3
US6680426B2,2004,0,1,0,0,0,0,0,3,4,5,11,7,2,1
US6683167B2,2004,0,1,0,0,0,0,0,11,31,71,17,17,2,2
US6692509B2,2004,0,0,0,0,0,0,0,12,24,0,19,13,2,2
US6682842B1,2004,0,0,0,0,0,0,1,9,16,13,26,7,3,2
US6675164B2,2004,0,0,0,0,0,1,0,3,18,19,33,0,2,2
US6680013B1,2004,1,0,0,0,0,0,0,5,7,77,40,0,4,3
US6685810B2,2004,0,0,0,0,0,1,0,3,10,57,40,1,6,2
US6694155B1,2004,0,0,0,0,0,0,1,7,6,1,37,3,2,0
US6673028B1,2004,0,0,0,0,0,0,0,7,20,0,27,20,2,2
US6689166B2,2004,0,0,0,0,0,0,0,26,2,0,2,6,2,3
US6685928B2,2004,0,0,0,0,0,0,0,10,43,51,22,9,2,3
US6680206B1,2004,0,0,0,0,0,1,0,12,129,21,47,3,4,3
US6713206B2,2004,0,0,0,0,0,0,1,7,15,12,36,3,3,2
US6689338B2,2004,1,0,0,0,0,0,0,4,18,4,11,19,1,1
US6676607B2,2004,0,0,0,0,0,0,0,19,14,0,30,11,3,3
US6708055B2,2004,0,0,0,0,0,1,0,5,17,58,16,1,2,1
US6711562B1,2004,0,0,0,0,0,1,0,3,12,13,44,1,2,1
US6706686B2,2004,0,0,0,0,0,0,0,5,22,45,50,1,4,2
US6709566B2,2004,0,1,0,0,0,0,0,22,5,23,24,1,2,1
US6711558B1,2004,0,0,0,0,0,1,0,11,40,39,27,5,3,3
US6693075B1,2004,0,1,0,0,0,0,0,11,13,38,19,13,1,3
US6680198B1,2004,0,1,0,0,0,0,0,3,6,7,2,0,3,3
US6689316B1,2004,0,0,0,0,0,1,0,8,10,1,37,14,4,2
US6680178B2,2004,0,1,0,0,0,0,0,4,13,16,112,4,4,3
US6692739B1,2004,0,0,0,0,0,0,0,6,57,43,26,1,3,3
US6695765B1,2004,1,0,0,0,0,0,0,13,20,13,13,1,4,3
US6680016B2,2004,0,1,0,0,0,0,0,11,15,0,12,7,2,3
US6706474B1,2004,0,1,0,0,0,0,0,3,10,36,45,5,2,2
US6684097B1,2004,0,0,0,0,0,0,0,5,17,73,55,8,6,3
US6680365B1,2004,0,1,0,0,0,0,0,1,0,18,25,0,1,3
US6707556B2,2004,0,0,0,0,0,1,0,7,120,12,21,9,5,3
US6696089B2,2004,0,0,0,0,0,0,0,7,22,6,22,0,2,2
US6692222B2,2004,0,0,0,0,1,0,0,13,30,0,48,7,8,1
US6703025B1,2004,0,1,0,0,0,0,0,2,16,12,8,3,3,3
US6673843B2,2004,0,0,0,0,0,0,0,6,23,32,7,4,1,1
US6695147B1,2004,0,0,0,0,0,1,0,11,36,28,26,4,2,3
US6687333B2,2004,0,0,0,0,0,0,1,1,3,0,17,7,6,2
USPP15137P2,2004,0,0,0,0,0,0,0,1,0,0,1,14,1,0
US6706866B1,2004,0,1,0,0,0,0,0,6,3,34,27,2,9,3
US6674121B2,2004,0,0,0,0,0,0,1,12,16,18,27,3,4,2
US6708502B1,2004,0,0,0,0,1,0,0,23,8,0,23,11,3,3
US6685962B2,2004,0,0,0,0,0,0,0,1,13,7,35,12,4,3
US6673398B2,2004,1,0,0,0,0,0,0,7,18,19,32,4,2,3
US6673130B2,2004,0,0,0,0,0,0,1,11,7,1,36,6,2,2
US6697666B1,2004,0,0,0,0,0,0,0,4,66,57,6,3,3,1
US6696251B1,2004,0,1,0,0,0,0,0,6,31,44,30,4,4,3
US6676927B1,2004,0,0,0,0,0,0,0,1,3,42,16,2,1,3
US6697767B2,2004,0,0,0,0,0,1,0,2,5,0,25,0,5,2
US6689700B1,2004,0,1,0,0,0,0,0,5,10,7,25,7,4,3
US6686261B2,2004,0,0,0,0,0,0,1,10,27,35,33,5,3,3
US6680693B2,2004,0,0,0,0,1,0,0,2,7,0,33,13,2,3
US6709681B2,2004,0,0,0,0,0,0,0,12,19,14,27,7,3,2
US6731799B1,2004,0,0,0,0,0,1,0,6,13,8,35,1,2,3
US6674894B1,2004,0,0,0,0,0,1,0,5,9,0,30,1,4,3
US6709744B1,2004,0,1,0,0,0,0,0,8,3,33,40,6,4,3
US6692964B1,2004,0,1,0,0,0,0,0,5,16,16,19,1,3,3
US6690686B2,2004,0,0,0,0,0,0,1,5,7,9,18,7,2,2
US6694856B1,2004,0,0,0,0,1,0,0,3,36,0,16,3,2,3
US6694799B2,2004,0,0,0,0,0,1,0,6,11,13,14,6,1,1
US6713772B2,2004,0,0,0,0,0,1,0,23,19,17,25,2,2,3
US6682732B1,2004,0,0,0,0,0,0,0,5,10,19,16,5,7,0
US6683872B1,2004,0,0,0,0,0,0,1,14,5,0,7,14,4,1
US6676675B2,2004,0,0,0,0,0,0,0,17,6,75,75,4,5,1
US6699697B2,2004,0,0,0,0,0,1,0,1,12,15,27,1,4,1
US6705345B1,2004,0,0,0,0,1,0,0,8,8,0,13,8,1,3
US6676402B1,2004,0,0,0,0,1,0,0,7,17,0,33,24,2,1
US6699713B2,2004,1,0,0,0,0,0,0,1,7,2,40,5,7,3
US6693183B2,2004,0,1,0,0,0,0,0,1,1,0,18,3,3,3
US6683011B2,2004,0,0,0,0,0,0,1,4,1,5,9,13,4,3
US6673079B1,2004,0,0,0,0,0,0,0,4,15,8,14,7,1,2
US6678450B1,2004,0,0,0,0,0,1,0,2,3,0,4,0,1,1
US6708142B1,2004,0,0,0,0,0,1,0,2,8,0,10,0,2,3
US6696281B1,2004,0,0,0,0,0,0,0,16,3,20,9,0,3,3
US6689580B1,2004,0,1,0,0,0,0,0,3,9,3,14,13,4,2
US6713938B2,2004,0,0,0,0,0,0,1,12,40,8,32,2,1,3
US6696484B2,2004,0,0,0,0,0,0,0,8,53,81,57,2,2,3
US6685941B1,2004,0,1,0,0,0,0,0,24,19,194,20,1,2,3
US6703819B2,2004,0,0,0,0,0,1,0,4,45,30,40,1,4,3
US6707948B1,2004,0,0,0,0,0,0,1,6,8,3,9,5,2,3
US6695664B2,2004,0,0,0,0,0,0,1,6,6,4,56,13,3,3
US6693826B1,2004,0,0,0,0,0,1,0,1,38,9,47,10,3,2
US6675166B2,2004,0,0,0,0,0,1,0,3,8,6,21,1,1,3
US6713280B1,2004,0,1,0,0,0,0,0,1,5,29,11,2,5,1
US6703414B2,2004,0,1,0,0,0,0,0,3,3,0,17,20,2,4
US6680660B2,2004,0,0,0,0,0,0,1,13,41,4,14,5,1,3
US6703382B2,2004,0,0,0,0,0,0,0,5,3,5,8,6,3,3
US6692759B1,2004,0,0,0,0,0,0,0,3,8,0,34,4,3,3
US6678399B2,2004,0,0,0,0,0,1,0,6,15,0,13,3,3,3
US6712797B1,2004,0,0,0,0,0,0,0,1,24,0,6,23,2,2
US6712925B1,2004,1,0,0,0,0,0,0,37,118,14,10,1,4,3
US6686490B1,2004,0,1,0,0,0,0,0,7,3,10,38,4,2,3
US6714566B1,2004,0,0,0,0,0,0,1,4,2,0,32,15,3,2
US6673099B2,2004,0,0,0,0,0,0,0,8,7,2,25,16,2,3
US6682648B1,2004,0,1,0,0,0,0,0,4,16,25,25,7,4,3
US6677299B2,2004,0,1,0,0,0,0,0,12,1,8,16,1,4,3
US6700923B1,2004,0,0,0,0,0,0,1,1,20,1,35,7,4,1
US6706024B2,2004,0,0,0,0,0,0,0,13,32,1,4,11,2,3
US6711148B1,2004,0,0,0,0,0,0,1,5,16,1,19,1,1,1
US6703489B1,2004,0,1,0,0,0,0,0,7,13,88,75,11,8,2
US6706480B1,2004,0,1,0,0,0,0,0,2,3,10,24,12,1,0
US6700552B2,2004,0,0,0,0,0,1,0,4,4,0,9,11,3,3
US6673891B2,2004,0,0,0,0,0,0,0,17,41,21,16,11,3,2
US6673243B2,2004,0,1,0,0,0,0,0,6,9,7,23,6,2,1
US6683628B1,2004,0,0,0,0,0,1,0,2,6,4,9,7,2,3
US6703426B1,2004,0,1,0,0,0,0,0,5,0,1,2,17,5,1
US6677176B2,2004,0,0,0,0,0,0,1,5,5,5,9,7,2,3
US6692496B1,2004,0,0,0,0,0,0,0,5,14,0,19,12,1,1
US6682550B2,2004,0,0,0,0,0,0,0,3,11,0,59,14,2,3
US6797472B1,2004,0,1,0,0,0,0,0,4,3,15,4,0,1,0
US6686190B2,2004,0,1,0,0,0,0,0,11,7,54,25,1,1,3
US6680195B1,2004,0,0,0,0,0,1,0,8,3,20,6,3,6,3
US6680485B1,2004,0,0,0,0,0,0,1,10,2,0,13,9,4,2
US6677121B2,2004,0,1,0,0,0,0,0,4,44,127,149,11,7,0
US6702982B1,2004,0,1,0,0,0,0,0,2,6,0,1,9,2,1
US6705993B2,2004,0,0,0,0,0,1,0,2,21,11,35,8,2,3
US6673900B2,2004,0,1,0,0,0,0,0,2,0,34,1,16,1,3
US6680303B2,2004,0,0,0,0,0,0,0,4,97,187,86,14,2,2
US6688187B1,2004,0,0,0,0,0,1,0,6,9,0,10,5,1,2
US6685943B1,2004,0,0,0,0,0,0,0,17,22,50,6,4,6,3
US6691305B1,2004,0,0,0,0,0,1,0,3,3,57,17,5,3,3
US6692919B1,2004,0,0,0,0,0,1,0,4,19,78,6,2,3,2
US6703015B1,2004,0,1,0,0,0,0,0,9,5,74,11,1,2,3
US6713367B2,2004,1,0,0,0,0,0,0,9,6,2,7,7,2,2
US6677125B2,2004,0,0,0,0,0,0,0,6,6,45,9,2,2,0
US6706687B1,2004,0,1,0,0,0,0,0,2,3,7,22,2,8,3
US6689165B2,2004,0,0,0,0,0,0,0,2,16,95,31,9,2,1
US6673039B1,2004,0,0,0,0,0,0,0,7,12,43,1,0,2,3
US6692724B1,2004,0,0,0,0,0,0,0,3,13,175,22,0,4,3
US6680663B1,2004,0,0,0,0,0,1,0,3,12,6,22,17,5,0
US6801878B1,2004,0,0,0,0,0,0,1,3,6,5,47,0,2,3
US6674558B1,2004,0,0,0,0,0,0,1,14,26,27,12,0,2,3
US6696382B1,2004,0,0,0,0,0,0,1,8,17,0,5,2,5,2
US6693193B1,2004,0,1,0,0,0,0,0,3,4,14,13,7,3,3
US6703645B2,2004,0,0,0,0,0,1,0,6,9,0,17,0,2,0
US6707230B2,2004,0,0,0,0,0,0,1,4,32,4,67,15,3,1
US6672075B1,2004,0,0,0,0,1,0,0,7,3,13,15,17,2,2
US6696039B2,2004,0,1,0,0,0,0,0,9,8,62,24,8,3,2
US6696585B1,2004,0,1,0,0,0,0,0,14,52,10,21,11,4,2
US6684298B1,2004,0,0,0,0,0,1,0,8,6,1,12,1,4,1
US6686334B2,2004,0,0,0,0,0,0,0,1,18,88,26,1,2,3
US6709739B1,2004,0,0,0,0,0,0,0,20,5,0,18,9,3,2
US6692439B1,2004,0,0,0,0,0,1,0,6,20,11,36,2,3,3
US6686470B2,2004,0,1,0,0,0,0,0,2,5,26,51,20,2,1
US6694057B1,2004,0,0,0,0,0,1,0,1,29,7,24,0,3,3
US6696575B2,2004,0,0,0,0,0,0,0,6,5,0,39,5,2,3
US6677956B2,2004,0,0,0,0,0,1,0,1,5,1,3,8,3,3
US6681189B1,2004,0,0,0,0,0,1,0,3,25,2,34,9,2,0
US6696142B2,2004,1,0,0,0,0,0,0,32,13,8,53,11,3,2
US6693093B2,2004,0,0,0,0,0,0,0,10,18,22,13,11,2,3
US6682729B1,2004,0,0,0,0,0,0,0,8,8,23,7,4,3,2
US6683590B1,2004,0,0,0,0,0,0,1,6,25,0,17,11,5,3
US6688381B2,2004,1,0,0,0,0,0,0,9,11,0,18,7,6,2
US6682906B1,2004,0,1,0,0,0,0,0,5,4,20,18,0,3,3
US6699656B2,2004,0,1,0,0,0,0,0,3,66,278,5,13,3,3
US6714823B1,2004,0,0,0,0,0,0,0,2,29,32,30,15,2,3
US6706795B1,2004,1,0,0,0,0,0,0,9,16,0,17,0,2,1
US6687625B2,2004,0,0,0,0,0,1,0,1,3,27,27,13,2,3
US6681132B1,2004,0,0,0,0,0,1,0,4,3,39,37,1,3,3
US6703396B1,2004,0,0,0,0,0,0,0,7,42,142,28,7,3,3
US6674426B1,2004,0,0,0,0,0,1,0,3,8,7,17,5,3,2
US6699952B2,2004,1,0,0,0,0,0,0,7,7,0,17,4,3,2
US6692680B2,2004,1,0,0,0,0,0,0,5,13,7,10,3,4,2
US6681180B2,2004,1,0,0,0,0,0,0,3,26,7,17,8,2,2
US6702993B2,2004,1,0,0,0,0,0,0,13,9,23,4,7,3,2
US6674282B2,2004,0,0,0,0,0,1,0,7,6,9,44,6,5,3
US6674074B2,2004,0,0,0,0,0,1,0,5,5,1,12,6,1,1
US6697452B2,2004,0,0,0,0,0,0,0,3,3,7,18,0,1,3
US6684917B2,2004,1,0,0,0,0,0,0,8,12,4,82,15,4,2
US6703216B2,2004,0,1,0,0,0,0,0,7,80,85,73,2,3,3
US6697707B2,2004,1,0,0,0,0,0,0,4,3,23,19,0,1,3
US6676263B2,2004,0,0,0,0,1,0,0,4,5,0,1,8,1,3
US6696407B1,2004,0,0,0,0,0,0,0,3,5,118,10,0,2,1
US6710030B1,2004,0,0,0,0,0,0,0,2,2,8,15,10,3,2
US6677313B1,2004,0,0,0,0,0,0,0,7,34,26,12,4,4,2
US6706477B2,2004,0,1,0,0,0,0,0,2,16,55,62,9,1,3
US6713643B2,2004,0,1,0,0,0,0,0,6,11,22,6,3,2,3
US6673534B1,2004,0,1,0,0,0,0,0,12,4,48,12,3,2,3
US6682565B1,2004,0,0,0,0,0,0,0,16,9,0,33,17,1,1
US6703660B2,2004,0,0,0,0,0,0,1,7,3,13,40,3,3,2
US6677442B1,2004,0,1,0,0,0,0,0,1,1,4,7,7,4,1
US6690811B2,2004,0,0,0,0,0,1,0,3,10,0,18,5,2,3
US6703237B2,2004,0,1,0,0,0,0,0,5,5,60,30,4,2,2
US6714742B1,2004,0,0,0,0,0,0,1,3,6,9,22,12,3,3
US6702969B2,2004,1,0,0,0,0,0,0,2,20,13,20,14,2,2
US6673026B2,2004,0,0,0,0,0,1,0,10,18,0,28,9,2,0
US6706491B1,2004,0,1,0,0,0,0,0,1,6,120,15,1,2,3
US6708141B1,2004,0,0,0,0,0,1,0,1,11,4,19,0,3,2
US6692627B1,2004,1,0,0,0,0,0,0,1,4,0,3,2,2,2
US6677377B2,2004,0,0,0,0,0,0,0,8,4,2,23,0,5,2
US6687654B2,2004,0,0,0,0,0,1,0,2,30,0,33,4,5,3
US6672001B1,2004,0,1,0,0,0,0,0,1,13,19,2,18,4,1
US6713329B1,2004,0,0,0,0,0,0,1,2,14,14,19,7,2,1
US6678545B2,2004,0,0,0,0,0,0,0,29,164,119,32,11,1,2
US6713640B2,2004,0,1,0,0,0,0,0,4,1,6,10,17,6,3
US6707409B1,2004,0,0,0,0,0,0,1,2,3,0,16,12,2,3
US6703050B1,2004,0,0,0,0,0,0,0,4,17,93,63,4,3,3
US6699207B2,2004,0,0,0,0,0,0,0,3,6,54,94,3,4,2
US6682216B1,2004,0,0,0,0,0,1,0,5,42,10,7,15,2,2
US6707680B2,2004,0,0,0,0,0,0,1,13,20,1,10,17,1,1
US6698219B2,2004,0,0,0,0,1,0,0,5,4,0,16,12,4,3
US6696576B2,2004,0,1,0,0,0,0,0,8,6,1,1,6,3,1
US6699279B2,2004,0,0,0,0,0,0,0,16,12,11,12,13,2,0
US6686458B2,2004,0,1,0,0,0,0,0,3,4,45,22,11,2,3
US6699687B1,2004,0,1,0,0,0,0,0,1,4,7,19,1,2,3
US6713547B2,2004,0,1,0,0,0,0,0,2,159,23,20,8,10,1
US6683058B1,2004,0,0,0,0,0,0,0,4,13,68,17,3,1,3
US6714569B2,2004,1,0,0,0,0,0,0,5,8,22,37,11,8,3
US6686145B1,2004,0,0,0,0,0,1,0,5,11,4,8,6,2,3
US6713506B2,2004,0,0,0,0,0,0,0,2,2,56,15,0,3,3
US6676984B1,2004,0,1,0,0,0,0,0,4,4,15,56,1,3,1
US6681043B1,2004,0,0,0,0,0,0,1,7,13,5,22,10,3,3
US6713300B1,2004,0,1,0,0,0,0,0,2,8,100,18,4,13,3
US6713059B2,2004,0,1,0,0,0,0,0,15,4,9,17,12,5,1
US6706896B1,2004,0,1,0,0,0,0,0,3,52,12,10,25,3,1
US6692972B1,2004,1,0,0,0,0,0,0,18,14,0,30,3,3,1
US6687585B1,2004,0,0,0,0,0,1,0,17,11,1,18,0,5,1
US6673561B1,2004,0,1,0,0,0,0,0,5,6,89,23,5,1,2
US6679938B1,2004,1,0,0,0,0,0,0,7,11,5,23,2,5,1
US6692590B2,2004,0,1,0,0,0,0,0,1,19,5,13,0,3,2
US6691554B2,2004,0,0,0,0,0,1,0,2,14,0,55,10,2,2
US6690509B2,2004,0,0,0,0,0,1,0,6,20,6,24,9,2,3
US6692453B2,2004,0,0,0,0,0,0,0,1,14,2,17,17,1,1
US6687528B2,2004,0,0,0,0,0,0,0,3,9,5,22,14,3,3
US6710066B2,2004,0,0,0,0,0,0,0,5,28,62,15,3,2,2
US6689869B2,2004,0,1,0,0,0,0,0,8,37,37,22,13,3,0
US6693159B1,2004,1,0,0,0,0,0,0,18,7,0,8,5,2,2
US6693599B1,2004,0,0,0,0,0,0,1,13,6,0,21,8,4,2
US6703233B1,2004,0,0,0,0,0,0,0,9,17,90,33,10,1,1
US6683495B2,2004,0,0,0,0,0,0,1,4,28,27,7,12,2,3
US6689767B2,2004,0,0,0,0,0,0,0,4,14,10,40,24,3,3
US6685812B2,2004,1,0,0,0,0,0,0,9,4,0,16,0,1,2
US6699216B2,2004,0,0,0,0,0,0,0,2,32,1,5,9,1,1
US6674939B1,2004,0,0,0,0,0,1,0,2,18,13,8,18,3,1
US6699575B1,2004,1,0,0,0,0,0,0,5,19,11,27,15,2,3
US6699670B2,2004,0,1,0,0,0,0,0,2,4,9,10,4,4,3
US6712917B2,2004,0,1,0,0,0,0,0,5,9,0,9,1,3,2
US6676978B1,2004,0,0,0,0,0,0,0,4,7,22,8,4,1,2
US6699525B2,2004,1,0,0,0,0,0,0,12,2,1,12,5,1,2
US6701663B1,2004,0,0,0,0,0,0,0,7,20,3,6,12,5,1
US6688162B2,2004,0,0,0,0,0,1,0,3,36,10,24,9,5,1
US6692763B1,2004,0,0,0,0,0,0,0,4,13,13,23,0,3,3
US6709600B2,2004,1,0,0,0,0,0,0,9,12,9,10,4,3,2
US6685947B1,2004,0,1,0,0,0,0,0,5,1,7,16,10,3,2
US6685326B2,2004,0,0,0,0,0,1,0,5,4,2,31,9,2,3
US6698287B2,2004,0,0,0,0,0,1,0,2,17,5,16,12,4,3
US6689191B2,2004,1,0,0,0,0,0,0,29,17,1,19,7,5,2
US6684008B2,2004,1,0,0,0,0,0,0,2,44,17,36,2,3,2
US6676813B1,2004,0,0,0,0,0,1,0,3,16,0,11,14,6,1
US6674925B1,2004,0,0,0,0,0,1,0,4,8,15,15,0,2,0
US6713978B2,2004,0,0,0,0,0,1,0,3,14,25,15,7,2,3
US6682647B1,2004,0,0,0,0,0,1,0,1,18,20,24,6,1,2
US6678618B1,2004,0,0,0,0,0,1,0,3,0,12,2,0,3,1
US6673814B2,2004,0,1,0,0,0,0,0,2,9,44,21,11,7,3
US6696645B2,2004,1,0,0,0,0,0,0,1,6,4,14,11,4,1
US6677174B2,2004,0,0,0,0,0,0,1,10,10,4,6,14,4,3
US6693091B2,2004,0,1,0,0,0,0,0,2,8,9,39,2,3,1
US6689293B2,2004,0,1,0,0,0,0,0,7,3,2,16,6,2,1
US6713048B2,2004,0,0,0,0,0,0,0,2,23,73,16,4,4,3
US6693133B1,2004,0,0,0,0,0,0,0,1,2,0,14,2,2,2
US6687058B1,2004,0,0,0,0,0,1,0,6,5,0,52,6,3,3
US6682214B1,2004,1,0,0,0,0,0,0,3,15,0,20,5,3,2
US6687004B1,2004,0,0,0,0,0,1,0,1,26,8,20,22,2,1
US6706977B2,2004,0,0,0,0,0,1,0,5,14,4,2,15,3,3
US6687461B1,2004,0,0,0,0,0,0,1,3,16,1,13,8,2,1
US6683506B2,2004,0,0,0,0,0,0,1,3,6,4,10,9,2,3
US6679672B1,2004,0,0,0,0,0,0,1,5,9,0,6,20,1,3
US6677374B2,2004,0,1,0,0,0,0,0,28,35,38,85,19,5,3
US6692908B1,2004,0,1,0,0,0,0,0,8,6,32,9,7,2,2
US6673779B2,2004,0,0,0,0,0,0,0,7,19,43,15,15,11,3
US6680475B2,2004,0,0,0,0,0,0,1,4,1,4,49,13,5,3
US6680184B2,2004,0,0,0,0,0,0,0,13,13,0,11,20,1,2
US6711320B2,2004,0,0,0,0,0,1,0,17,43,12,46,7,3,3
US6686132B2,2004,0,0,0,0,0,1,0,3,10,8,61,8,2,3
US6689887B2,2004,0,1,0,0,0,0,0,6,3,44,1,0,4,1
US6693597B2,2004,0,0,0,0,0,0,1,1,14,0,41,23,3,3
US6702875B2,2004,1,0,0,0,0,0,0,12,16,0,34,14,2,1
US6689742B1,2004,0,1,0,0,0,0,0,2,2,6,14,10,3,3
US6689563B2,2004,0,1,0,0,0,0,0,1,23,16,5,7,2,3
US6703203B2,2004,1,0,0,0,0,0,0,33,15,9,41,3,4,3
US6697518B2,2004,0,0,0,0,0,1,0,2,2,11,32,2,3,3
US6703485B2,2004,0,1,0,0,0,0,0,5,2,70,2,9,6,1
US6700803B2,2004,0,0,0,0,0,0,1,5,5,1,28,8,1,3
US6688123B2,2004,0,0,0,0,0,1,0,8,18,0,42,16,3,3
US6680311B1,2004,0,1,0,0,0,0,0,8,13,23,21,11,13,3
US6681838B2,2004,1,0,0,0,0,0,0,5,4,0,5,16,4,1
US6689878B2,2004,0,1,0,0,0,0,0,4,2,18,23,13,2,3
US6681065B1,2004,0,0,0,0,0,1,0,1,19,16,10,7,2,0
US6699189B1,2004,0,0,0,0,0,1,0,3,6,0,24,3,2,3
US6680924B2,2004,0,0,0,0,0,0,1,2,28,1,15,1,3,1
US6682810B1,2004,0,1,0,0,0,0,0,10,17,1,17,4,6,0
US6673340B1,2004,0,1,0,0,0,0,0,4,0,5,3,4,2,2
US6698919B2,2004,0,0,0,0,0,1,0,3,15,10,13,3,3,3
US6685913B1,2004,0,0,0,0,0,0,0,1,3,22,7,4,1,1
